Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um/sr,,,,
  1, 315,     314.550,       4.060,    1122.205,   4.873E-01,   3.000E-02,   4.206E-01,   3.285E-19
  2, 316,     316.239,       5.034,     928.149,   6.497E-01,   3.062E-02,   5.829E-01,   2.958E-19
  3, 318,     318.262,       4.580,     851.625,   7.409E-01,   3.099E-02,   5.483E-01,   2.843E-19
  4, 320,     320.303,       4.725,     821.106,   7.808E-01,   3.116E-02,   4.616E-01,   2.833E-19
  5, 322,     322.433,       4.842,     806.884,   7.905E-01,   3.121E-02,   3.546E-01,   2.898E-19
  6, 325,     324.649,       4.844,     861.554,   7.914E-01,   3.123E-02,   2.576E-01,   3.019E-19
  7, 327,     326.828,       4.637,     958.588,   7.890E-01,   3.124E-02,   1.910E-01,   3.132E-19
  8, 329,     328.988,       4.507,    1014.965,   7.699E-01,   3.118E-02,   1.387E-01,   3.251E-19
  9, 331,     331.305,       5.671,    1018.420,   7.402E-01,   3.108E-02,   9.844E-02,   3.418E-19
 10, 334,     333.958,       5.932,     982.092,   7.206E-01,   3.101E-02,   6.838E-02,   3.572E-19
 11, 337,     336.815,       4.916,     934.904,   7.112E-01,   3.099E-02,   4.395E-02,   3.736E-19
 12, 339,     339.160,       4.563,     960.987,   7.034E-01,   3.098E-02,   3.070E-02,   3.963E-19
 13, 341,     341.321,       4.760,     983.319,   6.898E-01,   3.093E-02,   2.060E-02,   4.076E-19
 14, 344,     343.632,       4.900,     951.705,   6.720E-01,   3.087E-02,   1.439E-02,   4.137E-19
 15, 346,     346.017,       5.029,     929.579,   6.529E-01,   3.081E-02,   9.882E-03,   4.395E-19
 16, 348,     348.468,       5.006,     954.222,   6.342E-01,   3.074E-02,   6.032E-03,   4.610E-19
 17, 351,     350.912,       4.999,     993.934,   6.162E-01,   3.068E-02,   4.535E-03,   4.617E-19
 18, 353,     353.344,       5.016,    1029.274,   5.988E-01,   3.062E-02,   3.473E-03,   4.768E-19
 19, 356,     355.782,       4.994,     992.275,   5.823E-01,   3.056E-02,   2.498E-03,   5.019E-19
 20, 358,     358.235,       5.069,     934.591,   5.642E-01,   3.049E-02,   2.283E-03,   5.089E-19
 21, 361,     360.695,       4.975,     972.813,   5.472E-01,   3.043E-02,   2.096E-03,   5.117E-19
 22, 363,     363.137,       5.049,    1053.299,   5.320E-01,   3.037E-02,   1.734E-03,   5.326E-19
 23, 366,     365.610,       5.074,    1139.141,   5.178E-01,   3.032E-02,   1.415E-03,   5.533E-19
 24, 368,     368.083,       5.047,    1188.453,   5.043E-01,   3.027E-02,   1.282E-03,   5.555E-19
